analysis,anchor,pair,best_layer,best_balanced_accuracy,best_baseline_balanced_accuracy,status,support_note,n_label_0,n_label_1
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,11,0.758014,0.500000,ok,,37,43
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,30,0.703431,0.500000,ok,,12,68
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_false_rationale_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:0,1:80; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",0,80
neutral_vulnerability,end_of_evidence_block,evidence_authority_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:0,1:80; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",0,80
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,17,0.774775,0.500000,ok,,74,6
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
neutral_vulnerability,end_of_evidence_block,evidence_true_belief_pressure,,,,,,,
